 2 ,1582185764,24.3995,33.5129,24.4308,24.3535,-5.5548,0.350,-141.502,11.536,156.935,142.593,26.986,-16885,29625,0.000000,0.060,536,2555,0,0,3713965996059056117.991,26.986,1.000
 2 ,1582185774,24.3496,33.5123,24.3918,24.2884,-6.3356,0.341,-147.925,11.577,154.298,139.948,26.952,-16886,30721,0.000000,0.060,536,2555,0,0,3713965996059056117.991,26.952,1.000
 2 ,1582185784,24.3410,33.5130,24.3609,24.2877,-6.3105,0.344,-151.508,11.535,159.465,145.104,26.917,-16887,31848,0.000000,0.060,536,2555,0,0,3713965996059056117.991,26.917,1.000
 2 ,1582185794,24.3530,33.5125,24.3822,24.2995,-5.6732,0.345,-143.448,11.659,155.631,141.296,26.884,-16888,32183,0.000000,0.060,536,2555,0,0,3713965996059056117.991,26.884,1.000
 2 ,1582185804,24.3559,33.5121,24.3753,24.3032,-5.4605,0.349,-137.394,11.650,148.952,134.622,26.853,-16889,-32607,0.000000,0.060,536,2555,0,0,3713965996059056117.991,26.853,1.000
 2 ,1582185814,24.3433,33.5113,24.3774,24.2783,-5.6917,0.339,-134.839,11.568,143.687,129.370,26.822,-16890,-31071,0.000000,0.060,536,2555,0,0,3713965996059056117.991,26.822,1.000
 2 ,1582185824,24.3303,33.5116,24.3611,24.2887,-5.3554,0.356,-133.223,11.717,142.865,128.576,26.792,-16891,-30598,0.000000,0.060,536,2555,0,0,3713965996059056117.991,26.792,1.000
 2 ,1582185834,24.3316,33.5114,24.3589,24.2838,-5.4302,0.357,-133.294,11.792,141.582,127.292,26.761,-16892,-30809,0.000000,0.060,536,2555,0,0,3713965996059056117.991,26.761,1.000
 2 ,1582185844,24.3224,33.5136,24.3538,24.2769,-5.5042,0.348,-134.907,11.705,142.749,128.447,26.731,-16893,-30347,0.000000,0.060,536,2555,0,0,3713965996059056117.991,26.731,1.000
 2 ,1582185854,24.3236,33.5118,24.3668,24.2583,-5.8104,0.341,-133.173,11.754,141.098,126.815,26.700,-16894,-30373,0.000000,0.060,536,2555,0,0,3713965996059056117.991,26.700,1.000
 2 ,1582185864,24.3183,33.5131,24.3486,24.2632,-5.5678,0.349,-134.772,11.815,142.946,128.637,26.669,-16895,-30626,0.000000,0.060,536,2555,0,0,3713965996059056117.991,26.669,1.000
 2 ,1582185874,24.3025,33.5124,24.3290,24.2423,-5.8554,0.354,-140.257,11.785,146.731,132.374,26.637,-16896,-30604,0.000000,0.060,536,2555,0,0,3713965996059056117.991,26.637,1.000
 2 ,1582185884,24.2762,33.5122,24.3032,24.2323,-5.9779,0.356,-146.823,11.708,152.715,138.390,26.604,-16897,6598,0.000000,0.060,536,2555,0,0,3713965996059056117.991,26.604,1.000
